battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,scoped_accuracy,scoped_critical_hits,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,venom_mine_kills,weapon_accuracy,win_percentage
Mantol#11865,2327,8737,2617,0,0.09,9,6,0,19,0,5,0,1,0,1,0,6120,2,1,0,1,0,0,6,10,0,0,6,0.43,4,0,0,0,600,0,0,5,0.32,0.82
FeelSoFine#21966,2511,118208,21597,3,0.2,231,95,0,233,0,151,4,12,0,8,0,95030,32,13,8,11,0,2,76,289,0,1,86,0.49,182,0,46,0,7200,804,7,16,0.4,0.67
Kenji#1928,2280,11220,3564,0,0.1,15,4,0,19,0,10,0,1,0,1,0,7615,1,1,0,1,0,0,6,16,0,0,1,0.57,10,0,1,0,480,69,0,0,0.47,1.0
Kaccalia#2878,2643,21448,2606,0,0.14,36,26,0,48,0,28,1,2,0,1,0,18841,5,3,1,2,0,1,17,7,0,1,16,0.51,22,0,11,0,1680,32,0,5,0.35,0.41
DestroGG#11746,3623,507703,100531,6,0.14,969,447,0,1113,0,672,18,44,1,24,0,403692,103,37,32,34,8,5,294,1739,0,0,358,0.49,628,0,193,1,28800,4449,10,157,0.36,0.57
kjbersch#1977,1943,1323,600,0,0.16,1,2,0,1,0,1,0,0,0,0,0,723,0,0,0,0,0,0,0,0,0,0,0,0.91,1,0,1,0,60,0,0,0,0.85,0
Weeb#11296,2692,113489,16589,4,0.18,230,83,0,271,0,183,4,9,0,5,0,94359,24,5,8,11,1,0,87,393,0,0,113,0.54,182,0,59,0,3600,1518,5,20,0.41,0.56
xoXCasparXox#2624,2387,469,32,0,0,0,2,0,2,0,1,0,0,0,0,0,437,1,0,0,0,0,0,1,1,0,0,0,0.44,0,0,0,0,60,0,0,0,0.44,0
DeadlyKitten#134440,1993,7534,0,0,0.08,7,6,0,12,0,5,0,1,0,0,0,0,2,1,0,1,0,0,0,14,0,0,0,0.41,4,0,3,0,420,0,0,2,0.4,0.38
Heartellie#21138,1963,70640,14811,2,0.15,112,42,0,108,0,71,3,5,0,2,0,53499,13,4,3,5,0,0,34,100,0,0,32,0.52,76,0,32,0,3600,137,7,16,0.4,0.45
DeadlyFeet#111163,2687,108108,18859,2,0.11,168,133,0,267,0,179,5,12,1,6,0,86986,27,8,8,11,3,1,75,263,0,0,88,0.49,136,0,82,0,7200,1123,4,5,0.44,0.51
eudog1998#2241,2584,5737,357,0,0.09,8,5,0,13,0,7,1,1,0,0,0,5376,2,0,1,1,0,0,5,10,0,0,7,0.52,6,0,2,0,480,0,0,0,0.38,0
Ouiner#1704,3311,14055,3252,1,0.08,13,5,0,31,0,10,0,1,0,1,0,10802,3,0,3,0,0,0,11,31,0,0,12,0.59,8,0,1,0,720,97,0,4,0.41,0.8
WidowQueen#11299,2027,207270,0,3,0.14,371,160,0,450,0,335,10,23,2,10,0,0,43,14,14,15,8,1,105,210,0,0,0,0.47,265,0,167,0,14400,1488,2,32,0.39,0.45
Nemesis#14909,1417,29103,5101,0,0.1,35,29,0,56,0,35,3,4,0,1,0,23342,8,3,1,4,0,0,23,2,0,0,18,0.52,22,0,9,0,2700,51,6,4,0.33,0.13
